Kodak
bpp:     0.03492,  0.02580,  0.01782,  0.01155,  0.00649
psnr:    23.01663, 22.63032, 22.05657, 21.30273, 20.28179
dists:   0.09165,  0.09811,  0.10805,  0.12444,  0.15215
ms_ssim: 0.81238,  0.79091,  0.75731,  0.71194,  0.64370
lpips:   0.16654,  0.18233,  0.20678,  0.24441,  0.30977

DIV2K
bpp:      0.03610,   0.02638,   0.01784,   0.01112,   0.00587
psnr:     22.79948,  22.40715,  21.76942,  20.93507,  19.83113
dists:    0.07143,   0.07706,   0.08573,   0.09998,   0.12210
ms_ssim:  0.83874,   0.82002,   0.78802,   0.74206,   0.67078
lpips:    0.16288,   0.17724,   0.19963,   0.23569,   0.28935
fid:      9.46,      10.18,     11.75,     13.82,     17.69
kid_mean: 0.0004615, 0.0005168, 0.0006934, 0.0007708, 0.0010096
kid_std:  0.0001158, 0.0001250, 0.0001512, 0.0001997, 0.0001959
